Time	Open	High	Low	Close	Volume	Spread
2009-11-27 00:00:00	0.90395	0.9109	0.89452	0.90732	62613	51
2009-11-29 00:00:00	0.91236	0.91468	0.90946	0.9121	2926	68
2009-11-30 00:00:00	0.91209	0.91933	0.91046	0.91754	66286	15
2009-12-01 00:00:00	0.91756	0.92706	0.91048	0.92523	60419	17
2009-12-02 00:00:00	0.92526	0.92946	0.92306	0.92758	55926	17
2009-12-03 00:00:00	0.92763	0.93216	0.92306	0.92413	48981	28
2009-12-04 00:00:00	0.92416	0.92927	0.91076	0.91481	62771	17
2009-12-06 00:00:00	0.91294	0.91657	0.91294	0.91424	2116	39
2009-12-07 00:00:00	0.91426	0.91879	0.90521	0.91475	67591	17
2009-12-08 00:00:00	0.91481	0.91638	0.90146	0.90224	73172	17
2009-12-09 00:00:00	0.90219	0.91132	0.90216	0.90955	68181	16
2009-12-10 00:00:00	0.90956	0.91898	0.90906	0.91634	48289	15
2009-12-11 00:00:00	0.91641	0.91924	0.90901	0.91181	47161	15
2009-12-13 00:00:00	0.91114	0.91176	0.90909	0.91042	1623	97
2009-12-14 00:00:00	0.91048	0.91744	0.90536	0.91563	51212	13
2009-12-15 00:00:00	0.91561	0.91654	0.90332	0.90577	45579	17
2009-12-16 00:00:00	0.90581	0.90698	0.89546	0.89905	60711	17
2009-12-17 00:00:00	0.89911	0.90044	0.88089	0.88479	55943	17
2009-12-18 00:00:00	0.88474	0.89116	0.88276	0.89026	48561	24
2009-12-20 00:00:00	0.89071	0.89095	0.88821	0.88887	1168	55
2009-12-21 00:00:00	0.88895	0.89036	0.87823	0.88047	43365	19
2009-12-22 00:00:00	0.88048	0.88341	0.87421	0.87639	46772	21
2009-12-23 00:00:00	0.87646	0.88182	0.87336	0.87973	32165	17
2009-12-24 00:00:00	0.87978	0.88594	0.87958	0.88253	12745	21
2009-12-27 00:00:00	0.88419	0.88492	0.88302	0.88414	568	125
2009-12-28 00:00:00	0.88415	0.88906	0.88259	0.88665	15528	30
2009-12-29 00:00:00	0.88671	0.89926	0.88601	0.89334	30831	18
2009-12-30 00:00:00	0.89335	0.89586	0.8901	0.89404	31172	18
2009-12-31 00:00:00	0.89411	0.901	0.89287	0.89412	27794	18
